==================================================
Alarm Parameter
==================================================
No,Enabled,Alarm,Code,en_Text,en_Action,ko_Text,ko_Action
1,Use,ERROR_DB_GET_DATA,P-000,ERROR DB GET DATA,,데이터베이스 데이터 로딩 오류,
2,Use,ERROR_DB_SET_DATA,P-001,ERROR DB SET DATA,,데이터베이스 데이터 쿼리 오류,
3,Use,ERROR_DEVICE_COMM_COFFEE_MAKER,P-002,ERROR DEVICE COMM COFFEE MAKER,,커피머신 통신 오류,
4,Use,ERROR_DEVICE_COMM_CONTROLLER1,P-003,ERROR DEVICE COMM CONTROLLER1,,컨트롤러1 통신 오류,
5,Use,ERROR_DEVICE_COMM_CONTROLLER2,P-004,ERROR DEVICE COMM CONTROLLER2,,컨트롤러2 통신 오류,
6,Use,ERROR_DEVICE_COMM_ICE_MAKER,P-005,ERROR DEVICE COMM ICE MAKER,,제빙기 통신 오류,
7,Use,ERROR_DEVICE_COMM_ROBOT,P-006,ERROR DEVICE COMM ROBOT,,로봇 통신 오류,
8,Use,ERROR_DEVICE_START,P-007,ERROR DEVICE START,,시스템 초기화 오류,
9,Use,ERROR_DEVICE_START_BARCODE,P-008,ERROR DEVICE START BARCODE,,바코드 초기화 오류,
10,Use,ERROR_DEVICE_START_COFFEE_MAKER,P-009,ERROR DEVICE START COFFEE MAKER,,커피머신 초기화 오류,
11,Use,ERROR_DEVICE_START_CONTROLLER1,P-010,ERROR DEVICE START CONTROLLER1,,컨트롤러1 초기화 오류,
12,Use,ERROR_DEVICE_START_CONTROLLER2,P-011,ERROR DEVICE START CONTROLLER2,,컨트롤러2 초기화 오류,
13,Use,ERROR_DEVICE_START_ICE_MAKER,P-012,ERROR DEVICE START ICE MAKER,,제빙기 초기화 오류,
14,Use,ERROR_DEVICE_START_KIOSK,P-013,ERROR DEVICE START KIOSK,,키오스크 초기화 오류,
15,Use,ERROR_DEVICE_START_REMOTE,P-014,ERROR DEVICE START REMOTE,,리모트 초기화 오류,
16,Use,ERROR_DEVICE_START_ROBOT,P-015,ERROR DEVICE START ROBOT,,로봇 초기화 오류,
17,Use,ERROR_DEVICE_STATUS_BARCODE,P-016,ERROR DEVICE STATUS BARCODE,,바코드 상태 이상,
18,Use,ERROR_DEVICE_STATUS_COFFEE_MAKER,P-017,ERROR DEVICE STATUS COFFEE MAKER,,커피머신 상태 이상,
19,Use,ERROR_DEVICE_STATUS_CONTROLLER1,P-018,ERROR DEVICE STATUS CONTROLLER1,,컨트롤러1 상태 이상,
20,Use,ERROR_DEVICE_STATUS_CONTROLLER2,P-019,ERROR DEVICE STATUS CONTROLLER2,,컨트롤러2 상태 이상,
21,Use,ERROR_DEVICE_STATUS_ICE_MAKER,P-020,ERROR DEVICE STATUS ICE MAKER,,제빙기 상태 이상,
22,Use,ERROR_DEVICE_STATUS_KIOSK,P-021,ERROR DEVICE STATUS KIOSK,,키오스크 상태 이상,
23,Use,ERROR_DEVICE_STATUS_REMOTE,P-022,ERROR DEVICE STATUS REMOTE,,리모트 상태 이상,
24,Use,ERROR_DEVICE_STATUS_ROBOT,P-023,ERROR DEVICE STATUS ROBOT,,로봇 상태 이상,
25,Use,ERROR_PARAMETER_BACKUP,P-024,ERROR PARAMETER BACKUP,,시스템 파라미터 백업 오류,
26,Use,ERROR_PARAMETER_LOAD,P-025,ERROR PARAMETER LOAD,,시스템 파라미터 로딩 오류,
27,Use,ERROR_PARAMETER_SAVE,P-026,ERROR PARAMETER SAVE,,시스템 파라미터 저장 오류,
28,Use,ERROR_PARAMETER_UPDATE,P-027,ERROR PARAMETER UPDATE,,시스템 파라미터 업데이트 오류,
29,Use,WarnCoffeeReserve01_e,W-000,WarnCoffeeReserve01,,WarnCoffeeReserve01,
30,Use,WarnCoffeeReserve02_e,W-001,WarnCoffeeReserve02,,WarnCoffeeReserve02,
31,Use,WarnCoffeeBoilerHeatLft_e,W-002,WarnCoffeeBoilerHeatLft,,WarnCoffeeBoilerHeatLft,
32,Use,WarnCoffeeBoilerHeatRgt_e,W-003,WarnCoffeeBoilerHeatRgt,,WarnCoffeeBoilerHeatRgt,
33,Use,WarnCoffeeFlowWaterTooLowLft_e,W-004,WarnCoffeeFlowWaterTooLowLft,,WarnCoffeeFlowWaterTooLowLft,
34,Use,WarnCoffeeFlowWaterTooLowRgt_e,W-005,WarnCoffeeFlowWaterTooLowRgt,,WarnCoffeeFlowWaterTooLowRgt,
35,Use,WarnCoffeeCleanIfrFail_e,W-006,WarnCoffeeCleanIfrFail,,WarnCoffeeCleanIfrFail,
36,Use,WarnCoffeeCleanTabsEmpty_e,W-007,WarnCoffeeCleanTabsEmpty,,WarnCoffeeCleanTabsEmpty,
37,Use,WarnCoffeeCleanCreditOn_e,W-008,WarnCoffeeCleanCreditOn,,WarnCoffeeCleanCreditOn,
38,Use,WarnCoffeeCleanBallDispMiss_e,W-009,WarnCoffeeCleanBallDispMiss,,WarnCoffeeCleanBallDispMiss,
39,Use,WarnCoffeeProDataInvalid_e,W-010,WarnCoffeeProDataInvalid,,WarnCoffeeProDataInvalid,
40,Use,WarnCoffeeBrewChInitFailLft_e,W-011,WarnCoffeeBrewChInitFailLft,,WarnCoffeeBrewChInitFailLft,
41,Use,WarnCoffeeBrewChInitFailRgt_e,W-012,WarnCoffeeBrewChInitFailRgt,,WarnCoffeeBrewChInitFailRgt,
42,Use,WarnCoffeeDoService_e,W-013,WarnCoffeeDoService,,WarnCoffeeDoService,
43,Use,WarnCoffeeChangeWaterFilter_e,W-014,WarnCoffeeChangeWaterFilter,,WarnCoffeeChangeWaterFilter,
44,Use,WarnCoffeeBopHallFailLft_e,W-015,WarnCoffeeBopHallFailLft,,WarnCoffeeBopHallFailLft,
45,Use,WarnCoffeeBopHallFailRgt_e,W-016,WarnCoffeeBopHallFailRgt,,WarnCoffeeBopHallFailRgt,
46,Use,WarnCoffeeNoGrinderTurnsLft_e,W-017,WarnCoffeeNoGrinderTurnsLft,,WarnCoffeeNoGrinderTurnsLft,
47,Use,WarnCoffeeMilkTankEmptyLft_e,W-018,WarnCoffeeMilkTankEmptyLft,,WarnCoffeeMilkTankEmptyLft,
48,Use,WarnCoffeeStmPressForMlk_e,W-019,WarnCoffeeStmPressForMlk,,WarnCoffeeStmPressForMlk,
49,Use,WarnCoffeeTopMotorFailLft_e,W-020,WarnCoffeeTopMotorFailLft,,WarnCoffeeTopMotorFailLft,
50,Use,WarnCoffeeTopMotorFailRgt_e,W-021,WarnCoffeeTopMotorFailRgt,,WarnCoffeeTopMotorFailRgt,
51,Use,WarnCoffeeBopMotorFailLft_e,W-022,WarnCoffeeBopMotorFailLft,,WarnCoffeeBopMotorFailLft,
52,Use,WarnCoffeeBopMotorFailRgt_e,W-023,WarnCoffeeBopMotorFailRgt,,WarnCoffeeBopMotorFailRgt,
53,Use,WarnCoffeeMilkTankEmptyRgt_e,W-024,WarnCoffeeMilkTankEmptyRgt,,WarnCoffeeMilkTankEmptyRgt,
54,Use,WarnCoffeeNoGrinderTurnsRgt_e,W-025,WarnCoffeeNoGrinderTurnsRgt,,WarnCoffeeNoGrinderTurnsRgt,
55,Use,WarnCoffeeMachDataCorrupt_e,W-026,WarnCoffeeMachDataCorrupt,,WarnCoffeeMachDataCorrupt,
56,Use,WarnCoffeeDateTimeIncorrectLeft_e,W-027,WarnCoffeeDateTimeIncorrectLeft,,WarnCoffeeDateTimeIncorrectLeft,
57,Use,WarnCoffeeDateTimeIncorrectRight_e,W-028,WarnCoffeeDateTimeIncorrectRight,,WarnCoffeeDateTimeIncorrectRight,
58,Use,WarnCoffeeExternEepromFail_e,W-029,WarnCoffeeExternEepromFail,,WarnCoffeeExternEepromFail,
59,Use,WarnCoffeeExternEepromBackupFail_e,W-030,WarnCoffeeExternEepromBackupFail,,WarnCoffeeExternEepromBackupFail,
60,Use,WarnCoffeeInternalRinse_e,W-031,WarnCoffeeInternalRinse,,WarnCoffeeInternalRinse,
61,Use,WarnCoffeeMilkShortRinseLft,W-032,WarnCoffeeMilkShortRinseLft,,WarnCoffeeMilkShortRinseLft,
62,Use,WarnCoffeeMilkShortRinseRgt,W-033,WarnCoffeeMilkShortRinseRgt,,WarnCoffeeMilkShortRinseRgt,
63,Use,WarnCoffeeNoPowderInChuteLft_e,W-034,WarnCoffeeNoPowderInChuteLft,,WarnCoffeeNoPowderInChuteLft,
64,Use,WarnCoffeeNoPowderInChuteRgt_e,W-035,WarnCoffeeNoPowderInChuteRgt,,WarnCoffeeNoPowderInChuteRgt,
65,Use,WarnCoffeePushBrewChamberBack_e,W-036,WarnCoffeePushBrewChamberBack,,WarnCoffeePushBrewChamberBack,
66,Use,WarnCoffeeNoMilkDetergent_e,W-037,WarnCoffeeNoMilkDetergent,,WarnCoffeeNoMilkDetergent,
67,Use,WarnCoffeeNTCBoilerFailLeft_e,W-038,WarnCoffeeNTCBoilerFailLeft,,WarnCoffeeNTCBoilerFailLeft,
68,Use,WarnCoffeeNTCBoilerFailRight_e,W-039,WarnCoffeeNTCBoilerFailRight,,WarnCoffeeNTCBoilerFailRight,
69,Use,WarnCoffeeNTCMilkHeatOutFailLeft_e,W-040,WarnCoffeeNTCMilkHeatOutFailLeft,,WarnCoffeeNTCMilkHeatOutFailLeft,
70,Use,WarnCoffeeNTCMilkHeatOutFailRight_e,W-041,WarnCoffeeNTCMilkHeatOutFailRight,,WarnCoffeeNTCMilkHeatOutFailRight,
71,Use,WarnCoffeeMachCounterRequested_e,W-042,WarnCoffeeMachCounterRequested,,WarnCoffeeMachCounterRequested,
72,Use,WarnCoffeeMemoryUsageTooHigh_e,W-043,WarnCoffeeMemoryUsageTooHigh,,WarnCoffeeMemoryUsageTooHigh,
73,Use,WarnCoffeeBackupOfMachParamsFailed_e,W-044,WarnCoffeeBackupOfMachParamsFailed,,WarnCoffeeBackupOfMachParamsFailed,
74,Use,WarnCoffeeMilkOverTempLft_e,W-045,WarnCoffeeMilkOverTempLft,,WarnCoffeeMilkOverTempLft,
75,Use,WarnCoffeeMilkOverTempRgt_e,W-046,WarnCoffeeMilkOverTempRgt,,WarnCoffeeMilkOverTempRgt,
76,Use,WarnCoffeeRestartMessage_e,W-047,WarnCoffeeRestartMessage,,WarnCoffeeRestartMessage,
77,Use,WarnCoffeeCleanWeekendMode_e,W-048,WarnCoffeeCleanWeekendMode,,WarnCoffeeCleanWeekendMode,
78,Use,WarnCoffeeMilkControlFailLeft_e,W-049,WarnCoffeeMilkControlFailLeft,,WarnCoffeeMilkControlFailLeft,
79,Use,WarnCoffeeFanFront_e,W-050,WarnCoffeeFanFront,,WarnCoffeeFanFront,
80,Use,WarnCoffeeFanGrinderLeft_e,W-051,WarnCoffeeFanGrinderLeft,,WarnCoffeeFanGrinderLeft,
81,Use,WarnCoffeeFanGrinderRight_e,W-052,WarnCoffeeFanGrinderRight,,WarnCoffeeFanGrinderRight,
82,Use,WarnCoffeeMilkControlFailRight_e,W-053,WarnCoffeeMilkControlFailRight,,WarnCoffeeMilkControlFailRight,
83,Use,WarnCoffeeMilkPumpMotorFailLft_e,W-054,WarnCoffeeMilkPumpMotorFailLft,,WarnCoffeeMilkPumpMotorFailLft,
84,Use,WarnCoffeeMilkPumpMotorFailRgt_e,W-055,WarnCoffeeMilkPumpMotorFailRgt,,WarnCoffeeMilkPumpMotorFailRgt,
85,Use,WarnCoffeeNTCMilkInFailLeft_e,W-056,WarnCoffeeNTCMilkInFailLeft,,WarnCoffeeNTCMilkInFailLeft,
86,Use,WarnCoffeeNTCMilkInFailRight_e,W-057,WarnCoffeeNTCMilkInFailRight,,WarnCoffeeNTCMilkInFailRight,
87,Use,WarnCoffeeMilkTankTempLft_e,W-058,WarnCoffeeMilkTankTempLft,,WarnCoffeeMilkTankTempLft,
88,Use,WarnCoffeeMilkTankTempRgt_e,W-059,WarnCoffeeMilkTankTempRgt,,WarnCoffeeMilkTankTempRgt,
89,Use,WarnCoffeeMilkUnitConnect_e,W-060,WarnCoffeeMilkUnitConnect,,WarnCoffeeMilkUnitConnect,
90,Use,WarnCoffeeExtractCtrlErrorLeft_e,W-061,WarnCoffeeExtractCtrlErrorLeft,,WarnCoffeeExtractCtrlErrorLeft,
91,Use,WarnCoffeeExtractCtrlErrorRight_e,W-062,WarnCoffeeExtractCtrlErrorRight,,WarnCoffeeExtractCtrlErrorRight,
92,Use,WarnCoffeeExtractCtrlLimitLeft_e,W-063,WarnCoffeeExtractCtrlLimitLeft,,WarnCoffeeExtractCtrlLimitLeft,
93,Use,WarnCoffeeExtractCtrlLimitRight_e,W-064,WarnCoffeeExtractCtrlLimitRight,,WarnCoffeeExtractCtrlLimitRight,
94,Use,WarnCoffeeUpcomingService_e,W-065,WarnCoffeeUpcomingService,,WarnCoffeeUpcomingService,
95,Use,WarnCoffeeUpcomingWaterFilter_e,W-066,WarnCoffeeUpcomingWaterFilter,,WarnCoffeeUpcomingWaterFilter,
96,Use,WarnCoffeeExtractCtrlSideDiff_e,W-067,WarnCoffeeExtractCtrlSideDiff,,WarnCoffeeExtractCtrlSideDiff,
97,Use,WarnCoffeeGrinderBlockedLft_e,W-068,WarnCoffeeGrinderBlockedLft,,WarnCoffeeGrinderBlockedLft,
98,Use,WarnCoffeeGrinderBlockedRgt_e,W-069,WarnCoffeeGrinderBlockedRgt,,WarnCoffeeGrinderBlockedRgt,
99,Use,WarnCoffeeMilkTempTooLowLeft_e,W-070,WarnCoffeeMilkTempTooLowLeft,,WarnCoffeeMilkTempTooLowLeft,
100,Use,WarnCoffeeMilkTempTooLowRight_e,W-071,WarnCoffeeMilkTempTooLowRight,,WarnCoffeeMilkTempTooLowRight,
101,Use,WarnCoffeeFlowRateSideDiff_e,W-072,WarnCoffeeFlowRateSideDiff,,WarnCoffeeFlowRateSideDiff,
102,Use,WarnCoffeeRinseFlowRateTooLowLft_e,W-073,WarnCoffeeRinseFlowRateTooLowLft,,WarnCoffeeRinseFlowRateTooLowLft,
103,Use,WarnCoffeeRinseFlowRateTooLowRgt_e,W-074,WarnCoffeeRinseFlowRateTooLowRgt,,WarnCoffeeRinseFlowRateTooLowRgt,
104,Use,WarnCoffeeExtractTimeTooHighLft_e,W-075,WarnCoffeeExtractTimeTooHighLft,,WarnCoffeeExtractTimeTooHighLft,
105,Use,WarnCoffeeExtractTimeTooHighRgt_e,W-076,WarnCoffeeExtractTimeTooHighRgt,,WarnCoffeeExtractTimeTooHighRgt,
106,Use,WarnCoffeeRinseFlowRateTooHighLft_e,W-077,WarnCoffeeRinseFlowRateTooHighLft,,WarnCoffeeRinseFlowRateTooHighLft,
107,Use,WarnCoffeeRinseFlowRateTooHighRgt_e,W-078,WarnCoffeeRinseFlowRateTooHighRgt,,WarnCoffeeRinseFlowRateTooHighRgt,
108,Use,WarnCoffeeFlowRateUnkwownNozzle_e,W-079,WarnCoffeeFlowRateUnkwownNozzle,,WarnCoffeeFlowRateUnkwownNozzle,
109,Use,WarnCoffeeGrinderDeblockFailLft_e,W-080,WarnCoffeeGrinderDeblockFailLft,,WarnCoffeeGrinderDeblockFailLft,
110,Use,WarnCoffeeGrinderDeblockFailRgt_e,W-081,WarnCoffeeGrinderDeblockFailRgt,,WarnCoffeeGrinderDeblockFailRgt,
111,Use,WarnCoffeeWaterPumpMotorFail_e,W-082,WarnCoffeeWaterPumpMotorFail,,WarnCoffeeWaterPumpMotorFail,
112,Use,WarnCoffeeNTCBoilerOutletFail_e,W-083,WarnCoffeeNTCBoilerOutletFail,,WarnCoffeeNTCBoilerOutletFail,
113,Use,WarnCoffeeHopperLevelLeft_e,W-084,WarnCoffeeHopperLevelLeft,,WarnCoffeeHopperLevelLeft,
114,Use,WarnCoffeeHopperLevelRight_e,W-085,WarnCoffeeHopperLevelRight,,WarnCoffeeHopperLevelRight,
115,Use,WarnCoffeeMilkInitRinse_e,W-086,WarnCoffeeMilkInitRinse,,WarnCoffeeMilkInitRinse,
116,Use,WarnCoffeeTopNullPosFailLft_e,W-087,WarnCoffeeTopNullPosFailLft,,WarnCoffeeTopNullPosFailLft,
117,Use,WarnCoffeeTopNullPosFailRgt_e,W-088,WarnCoffeeTopNullPosFailRgt,,WarnCoffeeTopNullPosFailRgt,
118,Use,WarnCoffeeLinePressureLow_e,W-089,WarnCoffeeLinePressureLow,,WarnCoffeeLinePressureLow,
119,Use,WarnFanPowder_e,W-090,WarnFanPowder,,WarnFanPowder,
120,Use,WarnPowderDispenserMotorLeft_e,W-091,WarnPowderDispenserMotorLeft,,WarnPowderDispenserMotorLeft,
121,Use,WarnPowderDispenserMotorRight_e,W-092,WarnPowderDispenserMotorRight,,WarnPowderDispenserMotorRight,
122,Use,WarnPowderPump_e,W-093,WarnPowderPump,,WarnPowderPump,
123,Use,WarnPowderMixerMotor_e,W-094,WarnPowderMixerMotor,,WarnPowderMixerMotor,
124,Use,WarnMilkUnitNotSupported_e,W-095,WarnMilkUnitNotSupported,,WarnMilkUnitNotSupported,
125,Use,WarnMilkInputTempColdFoamLft_e,W-096,WarnMilkInputTempColdFoamLft,,WarnMilkInputTempColdFoamLft,
126,Use,WarnMilkInputTempColdFoamRgt_e,W-097,WarnMilkInputTempColdFoamRgt,,WarnMilkInputTempColdFoamRgt,
127,Use,WarnPowderMixerMiss_e,W-098,WarnPowderMixerMiss,,WarnPowderMixerMiss,
128,Use,WarnCoffeeSdCardMissing_e,W-099,WarnCoffeeSdCardMissing,,WarnCoffeeSdCardMissing,
129,Use,WarnCoffeeMax_e,W-100,WarnCoffeeMax,,WarnCoffeeMax,
130,Use,WarnSteamPressureMax_e,W-100,WarnSteamPressureMax,,WarnSteamPressureMax,
131,Use,WarnSteamPressureTooHigh_e,W-101,WarnSteamPressureTooHigh,,WarnSteamPressureTooHigh,
132,Use,WarnSteamPurgeLeak_e,W-102,WarnSteamPurgeLeak,,WarnSteamPurgeLeak,
133,Use,WarnSteamNTCSteamWandLeft_e,W-103,WarnSteamNTCSteamWandLeft,,WarnSteamNTCSteamWandLeft,
134,Use,WarnSteamNTCSteamWandRight_e,W-104,WarnSteamNTCSteamWandRight,,WarnSteamNTCSteamWandRight,
135,Use,WarnSteamMax_e,W-105,WarnSteamMax,,WarnSteamMax,
136,Use,WarnUndef_e,W-255,WarnUndef,,WarnUndef,
137,Use,StopCoffeePowerUp_e,S-000,StopCoffeePowerUp,,StopCoffeePowerUp,
138,Use,StopCoffeeBoilerHeat_e,S-001,StopCoffeeBoilerHeat,,StopCoffeeBoilerHeat,
139,Use,StopCoffeeBeanHopperMissRear_e,S-002,StopCoffeeBeanHopperMissRear,,StopCoffeeBeanHopperMissRear,
140,Use,StopCoffeeBeanHopperMissFront_e,S-003,StopCoffeeBeanHopperMissFront,,StopCoffeeBeanHopperMissFront,
141,Use,StopCoffeeEmptyGrdsDrwrBefCln_e,S-004,StopCoffeeEmptyGrdsDrwrBefCln,,StopCoffeeEmptyGrdsDrwrBefCln,
142,Use,StopCoffeeEmptyGrdsDrwrAftCln_e,S-005,StopCoffeeEmptyGrdsDrwrAftCln,,StopCoffeeEmptyGrdsDrwrAftCln,
143,Use,StopCoffeeGrdsDrwrFull_e,S-006,StopCoffeeGrdsDrwrFull,,StopCoffeeGrdsDrwrFull,
144,Use,StopCoffeeGrdsDrwrTime_e,S-007,StopCoffeeGrdsDrwrTime,,StopCoffeeGrdsDrwrTime,
145,Use,StopCoffeeGrdsDrwrEmpty_e,S-008,StopCoffeeGrdsDrwrEmpty,,StopCoffeeGrdsDrwrEmpty,
146,Use,StopCoffeeGrdsDrwrMiss_e,S-009,StopCoffeeGrdsDrwrMiss,,StopCoffeeGrdsDrwrMiss,
147,Use,StopCoffeeHopperEmptyFront_e,S-010,StopCoffeeHopperEmptyFront,,StopCoffeeHopperEmptyFront,
148,Use,StopCoffeeHopperEmptyRear_e,S-011,StopCoffeeHopperEmptyRear,,StopCoffeeHopperEmptyRear,
149,Use,StopCoffeeHopperEmpty_e,S-012,StopCoffeeHopperEmpty,,StopCoffeeHopperEmpty,
