==================================================
Control Parameter
==================================================
No,Control_Name,en_Font,en_Text,ko_Font,ko_Text,Visible
1,grp_ControlPanel_CoffeeMaker,Tahoma/ 9pt,CoffeeMaker,맑은 고딕/ 9pt,커피 머신,Use
2,btn_ControlPanel_CoffeeMaker_Start,Tahoma/ 9pt,Start,Tahoma/ 9pt,Start,Use
3,btn_ControlPanel_CoffeeMaker_Rinse,Tahoma/ 9pt,Rinse,Tahoma/ 9pt,Rinse,Use
4,title_ControlPanel_CoffeeMaker_Status,Tahoma/ 9pt,Status,Tahoma/ 9pt,Status,Use
5,title_ControlPanel_CoffeeMaker_Action,Tahoma/ 9pt,Action,Tahoma/ 9pt,Action,Use
6,title_ControlPanel_CoffeeMaker_Process,Tahoma/ 9pt,Process,Tahoma/ 9pt,Process,Use
7,title_ControlPanel_CoffeeMaker_KeyId,Tahoma/ 9pt,KeyId,Tahoma/ 9pt,KeyId,Use
8,title_ControlPanel_CoffeeMaker_Water,Tahoma/ 9pt,Water,Tahoma/ 9pt,Water,Use
9,title_ControlPanel_CoffeeMaker_CoffeeMilkL,Tahoma/ 9pt,CoffeeMilkL,Tahoma/ 9pt,CoffeeMilkL,Use
10,title_ControlPanel_CoffeeMaker_Warnings,Tahoma/ 9pt,Warnings,Tahoma/ 9pt,Warnings,Use
11,title_ControlPanel_CoffeeMaker_Stops,Tahoma/ 9pt,Stops,Tahoma/ 9pt,Stops,Use
12,title_ControlPanel_CoffeeMaker_Errors,Tahoma/ 9pt,Errors,Tahoma/ 9pt,Errors,Use
13,title_ControlPanel_CoffeeMaker_Count,Tahoma/ 9pt,Count,Tahoma/ 9pt,Count,Use
14,grp_ControlPanel_Robot,Tahoma/ 9pt,Robot,맑은 고딕/ 9pt,로봇,Use
15,btn_ControlPanel_Robot_Stop,Tahoma/ 9pt,Stop,맑은 고딕/ 9pt,정지,Use
16,btn_ControlPanel_Robot_Initialize,Tahoma/ 9pt,Initialize,맑은 고딕/ 9pt,초기화,Use
17,btn_ControlPanel_Robot_Clean,Tahoma/ 9pt,Clean\r\nPose,맑은 고딕/ 9pt,세척\r\n자세,Use
18,btn_ControlPanel_Robot_Maintenance,Tahoma/ 9pt,Maint.\r\nPose,맑은 고딕/ 9pt,유지보수\r\n자세,Use
19,btn_ControlPanel_Robot_Control,Tahoma/ 9pt,Control,Tahoma/ 9pt,Control,Use
20,btn_ControlPanel_Robot_Command,Tahoma/ 9pt,Command,Tahoma/ 9pt,Command,Use
21,grp_ControlPanel_IceMaker,Tahoma/ 9pt,IceMaker,맑은 고딕/ 9pt,제빙기,Use
22,title_ControlPanel_IceMaker_Time_Ice,Tahoma/ 9pt,Ice Time,맑은 고딕/ 9pt,얼음 시간,Use
23,title_ControlPanel_IceMaker_Time_Water,Tahoma/ 9pt,Water Time,맑은 고딕/ 9pt,정수 시간,Use
24,btn_ControlPanel_IceMaker_Start,Tahoma/ 9pt,Start,Tahoma/ 9pt,Start,Use
25,btn_ControlPanel_IceMaker_Water,Tahoma/ 9pt,Water,맑은 고딕/ 9pt,탄산수,Unused
26,title_ControlPanel_IceMaker_MachineCode,Tahoma/ 9pt,MachineCode,맑은 고딕/ 9pt,머신 코드,Use
27,title_ControlPanel_IceMaker_ErrorCode,Tahoma/ 9pt,ErrorCode,맑은 고딕/ 9pt,오류 코드,Use
28,grp_ControlPanel_Controller1,Tahoma/ 9pt,Controller1,맑은 고딕/ 9pt,컨트롤러1,Use
29,grp_ControlPanel_Controller1_Door1,Tahoma/ 9pt,Door1,맑은 고딕/ 9pt,도어1,Use
30,btn_ControlPanel_Controller1_Door1_Close,Tahoma/ 9pt,Close,맑은 고딕/ 9pt,닫기,Use
31,btn_ControlPanel_Controller1_Door1_Open,Tahoma/ 9pt,Open,맑은 고딕/ 9pt,열기,Use
32,btn_ControlPanel_Controller1_Door1_Lock,Tahoma/ 9pt,Lock,Tahoma/ 9pt,Lock,Use
33,grp_ControlPanel_Controller1_Door2,Tahoma/ 9pt,Door2,맑은 고딕/ 9pt,도어2,Use
34,btn_ControlPanel_Controller1_Door2_Close,Tahoma/ 9pt,Close,맑은 고딕/ 9pt,닫기,Use
35,btn_ControlPanel_Controller1_Door2_Open,Tahoma/ 9pt,Open,맑은 고딕/ 9pt,열기,Use
